,Country,Anthem,cluster,cluster_names
14,France,"arise, children of the fatherland, the day of glory has arrived! against us, tyranny's bloody standard is raised, do you hear, in the countryside, the roar of those ferocious soldiers? they're coming right into your arms to cut the throats of your sons, your women! to arms, citizens, form your battalions, let's march, let's march! let an impure blood water our furrows! what does this horde of slaves, of traitors and conspiring kings want? for whom have these vile chains, these irons, been long prepared? frenchmen, for us, ah! what outrage what furious action it must arouse! it is to us they dare plan a return to the old slavery! to arms, citizens ... what! foreign cohorts would make the law in our homes! what! these mercenary phalanxes would strike down our proud warriors! great god! by chained hands our brows would yield under the yoke! vile despots would themselves become the masters of our destinies! to arms, citizens ... tremble, tyrants and you traitors the shame of all parties, tremble! your parricidal schemes will finally receive their prize! everyone is a soldier to combat you, if they fall, our young heroes, will be produced anew from the ground, ready to fight against you! to arms, citizens ... frenchmen, as magnanimous warriors, bear or hold back your blows! spare those sorry victims, for regretfully arming against us. but these bloodthirsty despots, these accomplices of bouillãƒâ©, all these tigers who mercilessly tear apart their mother's breast! to arms, citizens ... sacred love of the fatherland, lead, support our avenging arms liberty, cherished liberty, fight with thy defenders! under our flags may victory hurry to thy manly accents, so that thy expiring enemies see thy triumph and our glory! to arms, citizens ... we shall enter the military career when our elders are no longer there, there we shall find their dust and the trace of their virtues much less keen to survive them than to share their coffins, we shall have the sublime pride to avenge or follow them. to arms, citizens ... ",0,Echoes of Sacred Freedom
15,Georgia,"my icon is my motherland, and the whole world is its icon-stand, bright mounts and valleys are shared with god. today our freedom sings to the glory of the future, the dawn star rises up and shines out between the two seas, so praise be to freedom, to freedom be praise!",0,Echoes of Sacred Freedom
16,Germany,"germany, germany above all, above all in the world, when, for protection and defense, it always stands brotherly together. from the meuse to the memel, from the adige to the belt, germany, germany above all, above all in the world! german women, german loyalty, german wine and german song, shall retain in the world their old beautiful chime and inspire us to noble deeds during all of our life. german women, german loyalty, german wine and german song! unity and justice and freedom for the german fatherland! towards these let us all strive brotherly with heart and hand! unity and justice and freedom are the safeguards of fortune; flourish in the radiance of this fortune, flourish, german fatherland! ",0,Echoes of Sacred Freedom
17,Greece,"we knew thee of old, o, divinely restored, by the lights of thine eyes, and the light of thy sword. from the graves of our slain, shall thy valor prevail, as we greet thee again, hail, liberty! hail!",0,Echoes of Sacred Freedom
18,Hungary,"o lord, bless the nation of hungary with your grace and bounty extend over it your guarding arm during strife with its enemies long torn by ill fate bring upon it a time of relief this nation has suffered for all sins of the past and of the future! you brought our ancestors up over the carpathians' holy peaks by you was won a beautiful homeland for bendeguz's sons and wherever flow the rivers of the tisza and the danube ãƒârpãƒâ¡d our hero's descendants will root and bloom for us on the plains of the kuns you ripened the wheat in the grape fields of tokaj you dripped sweet nectar our flag you often planted on the wild turk's earthworks and under mãƒâ¡tyãƒâ¡s' grave army whimpered vienna's ""proud fort."" ah, but for our sins anger gathered in your bosom and you struck with your lightning from your thundering clouds now the plundering mongols' arrows you swarmed over us then the turks' slave yoke we took upon our shoulders. how often came from the mouths of osman's barbarian nation over the corpses of our defeated army a victory song! how often did your own son agress my homeland, upon your breast, and you became because of your own sons your own sons' funeral urn! the fugitive hid, and towards him the sword reached into his cave looking everywhere he could not find his home in his homeland climbs the mountain, descends the valley sadness and despair his companions sea of blood beneath his feet ocean of flame above. castle stood, now a heap of stones happiness and joy fluttered, groans of death, weeping now sound in their place. and ah! freedom does not bloom from the blood of the dead, torturous slavery's tears fall from the burning eyes of the orphans! pity, o lord, the hungarians who are tossed by waves of danger extend over it your guarding arm on the sea of its misery long torn by ill fate bring upon it a time of relief they who have suffered for all sins of the past and of the future! https://lyricstranslate.com",0,Echoes of Sacred Freedom
19,Iceland,"our country's god! our country's god! we worship thy name in its wonder sublime. the suns of the heavens are set in thy crown by thy legions, the ages of time! with thee is each day as a thousand years, each thousand of years, but a day, eternity's flow'r, with its homage of tears, that reverently passes away. iceland's thousand years, iceland's thousand years! eternity's flow'r, with its homage of tears, that reverently passes away. our god, our god, we bow to thee, our spirits most fervent we place in thy care. lord, god of our fathers from age unto age, we are breathing our holiest prayer. we pray and we thank thee a thousand years for safely protected we stand; we pray and we bring thee our homage of tears our destiny rest in thy hand. icelandã¢â‚¬â„¢s thousand years, iceland's thousand years! the hoarfrost of morning which tinted those years, thy sun rising high, shall command! our countryã¢â‚¬â„¢s god! our countryã¢â‚¬â„¢s god! our life is a feeble and quivering reed; we perish, deprived of thy spirit and light to redeem and uphold in our need. inspire us at morn with thy courage and love, and lead through the days of our strife! at evening send peace from thy heaven above, and safeguard our nation through life. icelandã¢â‚¬â„¢s thousand years, iceland's thousand years! o, prosper our people, diminish our tears and guide, in thy wisdom, through life!",0,Echoes of Sacred Freedom
20,Ireland,"we'll sing a song, a soldier's song with cheering, rousing chorus as round our blazing fires we throng the starry heavens o'er us impatient for the coming fight and as we wait the morning's light here in the silence of the night we'll chant a soldier's song soldiers are we, whose lives are pledged to ireland, some have come from a land beyond the wave, sworn to be free, no more our ancient sireland, shall shelter the despot or the slave. tonight we man the gap of danger, in erin's cause, come woe or weal, 'mid cannons' roar and rifles' peal, we'll chant a soldier's song. in valley green, or towering crag our fathers fought before us and conquered 'neath the same old flag that's proudly floating o'er us we're children of a fighting race that never yet has known disgrace and as we march, the foe to face we'll chant a soldier's song soldiers are we, whose lives are pledged to ireland, some have come from a land beyond the wave, sworn to be free, no more our ancient sireland, shall shelter the despot or the slave. tonight we man the gap of danger, in erin's cause, come woe or weal, 'mid cannons' roar and rifles' peal, we'll chant a soldier's song. sons of the gael! men of the pale! the long-watched day is breaking the serried ranks of innisfail shall set the tyrant quaking our camp fires now are burning low see in the east a silv'ry glow out yonder waits the saxon foe so chant a soldier's song ",2,A Child’s Voice
21,Italy,"brothers of italy, italy has woken, bound scipio's helmet upon her head. where is victory? let her bow down, because slave of rome god created her. let us join in a cohort, we are ready to die. we are ready to die, italy has called. let us join in a cohort, we are ready to die. we are ready to die, italy has called! yes!",3,Glorious Homeland
22,Latvia,"god, bless latvia! our beloved fatherland, bless latvia, oh bless it, yet again! where latvian daughters bloom, where latvian sons sing, let us dance for joy there, in our latvia!",2,A Child’s Voice
23,Liechtenstein,"high on the german rhine lies liechtenstein, resting on alpine heights. this beloved homeland within the german fatherland was chosen for us by god's wise hand.",3,Glorious Homeland
24,Lithuania,"lithuania, our dear homeland, land of worthy heroes! may your sons draw strength from your past experiences. may your children always choose the paths of virtue, may they work towards your good, and that of all people. may the sun of lithuania disperse darkness, and light, and truth, may guide our steps. may love of lithuania burn in our hearts, in the name of lithuania, unity may blossom!",3,Glorious Homeland
25,Luxembourg,"where the alzette flows through the meadows the sauer breaks its way through the rocks; where the vines amply grow along the moselle, the sky makes wine for us that is our country for which we give down here we would risk everything; our homeland so deeply we carry in our hearts. in its crown of dark wood always guarded by peace, without pomp and costly shine cozy it cutely smiles. its people can claim happiness there are no hollow dreams: if you live in such a home, how good it is to be at home. sing, sing, through mountain and valley the earth that bore us, that love loyally echoes borne in each breast. for our homeland, no melody is too beautiful every word that is uttered shakes the soul like a thunderclap and our eyes shine like fire. o thou above whose hand is leading the nations of the world; protect this land of luxembourg from foreign yoke and pain you have given us already in our youth the sense of liberty. let the sunlight of freedom shine that we have seen for such a long time.",0,Echoes of Sacred Freedom
26,Malta,"guard, lord, forever, as you've done erst and ceasing never, this land whose name we received, our motherly-named mother. her you have draped with a light whose grace exceeds all other. on those who govern, sovereign god, bestow understanding, grant wellness to those who work, largesse to those employing, make firm, make just all our bonds, the peace we are enjoying.",3,Glorious Homeland
27,Moldova (the Republic of),"a treasure is our language that surges from deep shadows of the past, chain of precious stones that scattered all over our ancient land. a burning flame is our language amidst a people waking from a deathly sleep, no warning, like the brave man of the stories. our language is the greenest leaf of the everlasting codrii, gentle river dniester's ripples hiding starlight bright and shining. our language is more than holy, words of homilies of old wept and sung perpetually in the homesteads of our folks. a treasure will spring up swiftly from deep shadows of the past, chain of precious stones that scattered all over our ancient land.",1,O Motherly Nature
28,Montenegro,"oh, bright dawn of may. our mother montenegro. we are sons of your rocks and keepers of your honesty we love you, the rocky hills and your awesome gorges that never came to know the chains of shameful slavery. our mother montenegro! oh, bright dawn of may. our mother montenegro. while our unity gives wings to our lovã„â€¡en cause, proud shall be, celebrated will be our dear homeland. a river of our waves, jumping into two seas, will bear voice to the ocean, may eternal be our montenegro! will bear voice to the ocean, may eternal be our montenegro!",2,A Child’s Voice
29,Netherlands (the),"a new christian song made in the honour of the most noble lord, lord william prince of orange, count of nassau, father of the nation, my merciful prince and lord. a song of which the first capital letter of each stanza form the name of his merciful prince. to the melody of chartres.",2,A Child’s Voice
30,Norway,"yes, we love with fond devotion this our land that looms rugged, storm-scarred o'er the ocean with her thousand homes. love her, in our love recalling those who gave us birth. and old tales which night, in falling, brings as dreams to earth. norseman, whatsoe'er thy station, thank thy god whose power willed and wrought the land's salvation in her darkest hour. all our mothers sought with weeping and our sires in fight, god has fashioned in his keeping till we gained our right. yes, we love with fond devotion this our land that looms rugged, storm-scarred o'er the ocean with her thousand homes. and, as warrior sires have made her wealth and fame increase, at the call we too will aid her armed to guard her peace.",3,Glorious Homeland
31,Poland,"poland has not yet died, so long as we still live. what the foreign power has seized from us, we shall recapture with a sabre. march, march, dabrowski, to poland from the italian land. under your command we shall rejoin the nation. we'll cross the vistula, we'll cross the warta, we shall be polish. bonaparte has given us the example of how we should prevail. like czarniecki to poznaã…â€ž returned across the sea to save his homeland after the swedish partition. the german nor the muscovite will settle when, with a backsword in hand, ""concord"" will be everybody's watchword and so will be our fatherland. a father, in tears, says to his basia listen, our boys are said to be beating the tarabans. all exclaim in unison, ""enough of this captivity!"" we've got the scythes of racã…â€šawice, koã…â€ºciuszko, if god wills.",3,Glorious Homeland
32,Portugal,"heroes of the sea, noble people, valiant and immortal nation, raise once again today the splendor of portugal! among the haze of memory, oh fatherland, one feels the voice of your distinguished forefathers, that shall lead you on to victory! to arms, to arms! over land, over sea, to arms, to arms! for the fatherland, fight! against the cannons, march on, march on! hoist the undefeated flag, in the lively light of your sky! may europe cry out to the whole earth: portugal has not perished kiss your merry ground the ocean, roaring with love, and your victorious arm gave new worlds to the world! salute the sun that rises over a gleeful future; let the echo of an offense be the sign for a comeback. rays of this strong dawn are like a mother's kisses, that keep us, sustain us, against the injuries of fate.",0,Echoes of Sacred Freedom
33,Republic of North Macedonia,"today over macedonia is born the new sun of liberty. the macedonians fight for their own rights! do not cry, dear mother macedonia, raise your head proudly high, old, young, men, and women, have risen to their feet! now once again the flag flutters, that of the kruã…â¡evo republic gotse delchev, pitu guli dame gruev, sandanski! the macedonian woods resoundly sing new songs and news! macedonia liberated lives in liberty!",2,A Child’s Voice
34,Romania,"awaken thee, romanian, wake up from deadly slumber the scourge of inauspicious barbarian tyrannies and now or never to a bright horizon clamber that shall to shame put all your enemies. itã¢â‚¬â„¢s now or never that we prove to the world that in these veins still flows roman blood and in our hearts for ever we glorify a name triumphant in battles, the name of trajan. behold, imperial shadows, michael, stephen, corvinus at the romanian nation, your mighty progeny with arms like steel and hearts of fire impetuous ã¢â‚¬å“live in liberty, or dieã¢â‚¬â that's what they all decree. priests, raise the cross, as this army is christian give it liberty and it's sanctified scope weã¢â‚¬â„¢d rather die in battle, with honorary glory than live again enslaved on our ancestral land.",3,Glorious Homeland
35,Russian Federation (the),"russia ã¢â‚¬â€œ our holy nation russia ã¢â‚¬â€œ our beloved country. a mighty will, great glory ã¢â‚¬â€œ these are yours for all time! be glorious, our free fatherland, age-old union of fraternal peoples, popular wisdom given by our forebears! be glorious, our country! we are proud of you! from the southern seas to the polar lands spread our forests and fields. you are unique in the world, one of a kind ã¢â‚¬â€œ native land protected by god! wide spaces for dreams and for living are opened for us by the coming years our loyalty to our fatherland gives us strength. thus it was, thus it is and always will be!",1,O Motherly Nature
36,Serbia,"od of justice; thou who saved us when in deepest bondage cast, hear thy serbian children's voices, be our help as in the past. with thy mighty hand sustain us, still our rugged pathway trace; god, our hope; protect and cherish, serbian lands and serbian race! bind in closest links our kindred teach the love that will not fail, may the loathed fiend of discord never in our ranks prevail. let the golden fruits of union our young tree of freedom grace; god, our master! guide and prosper, serbian lands and serbian race! lord! avert from us thy vengeance, thunder of thy dreaded ire; bless each serbian town and hamlet, mountain, meadow, heart and spire! when our host goes forth to battle death or victory to embrace god of armies! be our leader, strengthen then the serbian race! on our sepulchre of ages breaks the resurrection morn, from the slough of direst slavery serbia anew is born. through five hundred years of durance we have knelt before thy face, all our kin, o god! deliver, thus entreats the serbian race!",0,Echoes of Sacred Freedom
37,Slovakia,"there is lightning over the tatras1 thunders loudly sound let us stop them, brothers after all they will disappear the slovaks will revive that slovakia of ours had been sleeping by now but the thunder's lightnings are rousing the land to wake it up",3,Glorious Homeland
38,Slovenia,"god's blessing on all nations who long and work for that bright day when o'er earth's habitations no war, no strife shall hold its sway who long to see that all men free no more shall foes, but neighbours be!",0,Echoes of Sacred Freedom
39,Spain,"flag of spain glory, glory, crown of the fatherland sovereign light which in your standard is gold. life, life, future of the fatherland, in your eyes it is an open heart purple and gold: immortal flag; in your colors, together, flesh and soul are. purple and gold: to want and to achieve; you are, flag, the sign of human effort. glory, glory, crown of the fatherland sovereign light which in your standard is gold. purple and gold: immortal flag; in your colors, together, flesh and soul are. spain guiding ask of us, spain! your name we will take anywhere you want; because honoring it is our law! command us, spain, and united we will fight, so that you may live, relentless people and king! you give us a glorious flag; nobody, who is alive, spain, will take it from us! so that, one day, we can be covered by it, give us, spain, the joy of dying for you! long live spain! long live spain! the cry of the fatherland, the triumphant explosion has opened the way to the sun; long live spain! repeated twenty peoples and when they speak they have faith in the spanish will mark plow hammer and bugle your noble rhythm at the cry of the fatherland faith! guide the mind and the hand until the end, the ""long live spain"" spain attends all standing!",3,Glorious Homeland
40,Sweden,"you ancient, you free, you mountainous north you quiet, you joyfully beauty! i greet you, loveliest land upon earth, your sun, your sky, your green climes. you throne on memories of great olden days, when honoured your name flew across the earth, i know that you are and will become what you were, yes, i want to live, i want to die in the north. i always will serve you my beloved land, your fidelity to death i will swear. your right, i shall defend, with mind and with hand, your banner, high with feats it carries. with god i shall fight, for home and for hearth, for sweden, the beloved homeland exchange you, i won't for anything in this world no, i want live, i want to die in the north",3,Glorious Homeland
41,Switzerland,"when the morning skies grow red, and over us their radiance shed thou, o lord, appeareth in their light when the alps glow bright with splendor, pray to god, to him surrender for you feel and understand that he dwelleth in this land. in the sunset thou art night and beyond the starry sky thou, o loving father, ever near, when to heaven we are departing joy and bliss thou'lt be imparting for we feel and understand that thou dwellest in this land. when dark clouds enshroud the hills and gray mist the valley fills yet thou art not hidden from thy sons pierce the gloom in which we cower with thy sunshine's cleansing power then we'll feel and understand that god dwelleth in this land",3,Glorious Homeland
42,Ukraine,"ukraine's glory, ukraine's freedom did not disappear, fate will smile on us ukrainians, our skies will be clear. our enemies will vanish like a sun-dried foam, we will be the only masters in our dear home. we will give our souls and bodies for our freedom and will show that we are, brothers, in the cossack breed born!",3,Glorious Homeland
43,United Kingdom of Great Britain and Northern Ireland (the),"god save the queen god save our gracious queen, long live our noble queen, god save the queen; send her victorious, happy and glorious, long to reign over us, god save the queen. oh lord our god arise, scatter our enemies, and make them fall confound their politics frustrate their knavish tricks, on thee our hopes we fix oh save us all thy choicest gifts in store on her be pleased to pour; long may she reign; may she defend our laws and ever give us cause to sing with heart and voice god save the queen not in this land alone, but be god's mercies known, from shore to shore! lord, make the nations see, that men should brothers be, and form one family, the wide world over. from every latent foe, from the assassins blow, god save the queen! o'er her thine arm extend, for britain's sake defend, our mother, princess and friend, god save the queen lord, grant that marshall wade may, by thy mighty aid, victory bring. may he sedition hush, and like a torrent rush, rebellious scots to crush. god save the queen",0,Echoes of Sacred Freedom
44,Argentina,"mortals! hear the sacred cry: freedom, freedom, freedom! hear the noise of broken chains, see noble equality enthroned. rises to the heights of the earth a new and glorious nation, its head crowned with laurels, and at her feet lying a lion. may the laurels be eternal, the ones we managed to win let us live crowned with glory or swear to die gloriously from the new champions their faces mars himself seems to encourage greatness nestles in their bodies: at their march they make everything tremble. the dead inca are shaken, and in their bones the ardour revives which renews their children of the motherland the ancient splendour. mountain ranges and walls are felt to resound with horrible din: the whole country is disturbed by cries of revenge, of war and rage. in the fiery tyrants the envy spit the pestipherous bile; their bloody standard they rise provoking the most cruel combat. don't you see them over mexico and quito throwing themselves with tenacious viciousness? and who they cry, bathed in blood, potosí, cochabamba and la paz? don't you see them over sad caracas spreading mourning and weeping and death? don't you see them devouring as wild animals all people who surrender to them? to you it dares, argentines, the pride of the vile invader; your fields it steps on, retelling so many glories as winner. but the brave ones, that united swore their merry freedom to sustain, to those blood-thirsty tigers bold breasts they will know to oppose. the valiant argentine to arms runs burning with determination and bravery, the war bugler, as thunder, in the fields of the south resounds. buenos ayres opposes, leading the people of the illustrious union, and with robust arms they tear the arrogant iberian lion. san josé, san lorenzo, suipacha, both piedras, salta and tucumán, la colonia and the same walls of the tyrant in the banda oriental. they are eternal signboards they say: here the argentine arm found triumph, here the fierce oppressor of the motherland his proud neck bent. victory to the argentine warrior covered with its brilliant wings, and embarrassed at this view the tyrant with infamy took to flight. its flags, its arms surrender as trophies to freedom, and above wings of glory the people rise the worthy throne of their great majesty. from one pole to the other resounds the fame of the sonorous bugler, and of america the name showing they repeat ""mortals, hear: the united provinces of the south have now displayed their most honorable throne"". and the free people of the world reply: ""we salute the great people of argentina!""",3,Glorious Homeland
45,Bolivia,"bolivians: favourable destiny crowned our votes and desires it is now free, this land is now free and now its servile condition has ended from the military uproar that was yesterday and from the cry of the terrible war today follow, in peaceful contrast sweet hymns of peace and union today follow, in peaceful contrast sweet hymns of peace and union   of the homeland, the lofty name in glorious splendour may we keep [it] and in its honour let's swear once again: to die before living as slaves! to die before living as slaves! to die before living as slaves!   eternal praise to the brave warriors whose heroic courage and determination won the glories that today bolivia happily begins to enjoy may their names, in marble and bronze, be transmitted to future ages and in resounding song repeat: freedom, freedom, freedom! and in resounding song repeat: freedom, freedom, freedom!   of the homeland, the lofty name in glorious splendour may we keep [it] and in its honour let's swear once again: to die before living as slaves! to die before living as slaves! to die before living as slaves! here justice set up its throne that does not recognise vile oppression and in its glorious stamp let us rejoice freedom, freedom, freedom this innocent and beautiful land that has its name because of bolívar 1 it is the happy homeland where man enjoys good fortune and peace it is the happy homeland where man enjoys good fortune and peace   of the homeland, the lofty name in glorious splendour may we keep [it] and in its honour let's swear once again: to die before living as slaves! to die before living as slaves! to die before living as slaves!   if a foreign power one day tries to subjugate bolivia let it be prepared for the fatal destiny that threatens the arrogant invader let the sons of the great bolívar have sworn a thousand times over: to die before seeing the majestic banner of the homeland lowered to die before seeing the majestic banner of the homeland lowered   of the homeland, the lofty name in glorious splendour may we keep [it] and in its honour let's swear once again: to die before living as slaves! to die before living as slaves! to die before living as slaves!",3,Glorious Homeland
46,Brazil,"the placid shores of the ipiranga heard the resounding shout of a heroic folk and the sun of liberty in shining beams shone in the homeland's sky at that instant if the pledge of this equality we managed to conquer with strong arm in thy bosom, o freedom, our chest defies death itself! o beloved, idolized homeland, hail, hail! brazil, an intense dream, a vivid ray of love and hope descends to earth if in thy beautiful, smiling and limpid sky the image of the (southern) cross blazes. giant by thine own nature thou art beautiful, strong, a fearless colossus and thy future mirrors that greatness adored land amongst thousand others art thou, brazil, o beloved homeland of the sons of this ground thou art kind mother beloved homeland, brazil eternally lying on splendid cradle to the sound of sea and under deep sky light thou flashest, brazil, crocket of america, illuminated by the sun of new world than the more garish land, thy smiling, pretty prairies have more flowers ""our groves have more life"" ""our life"" in thy bosom ""more loves"" o beloved, idolized homeland, hail, hail! brazil, of eternal love be a symbol the starred labarum which thou displayst and say the laurel-green of this pennant ""peace in the future and glory in the past"" but if thou raisest the strong mace of justice, see that a son of thine flees not from battle, nor do those who love thee fear their own death adored land amongst thousand others art thou, brazil, o beloved homeland of the sons of this ground thou art kind mother beloved homeland, brazil",3,Glorious Homeland
47,Chile,"beloved homeland, receive the vows that chile gave you on your altars that you be either the tomb of the free or a refuge from oppression the bloody fight has ceased; and yesterday's invader is now our brother; three centuries we washed the affront fighting in the field of honor. that who yesterday was a slave is free and triumphant today; freedom is the heritage of the brave, victory lies shameful to his feet. rise, chile, with a spotless forehead; you conquered your name on the fight; always noble, constant and courageous the children of the cid found you. may your free calmly crown the arts, industry and peace, and may they sing songs of your triumph to intimidate the daring despot. your names, brave soldiers who have been chile's mainstay, they are engraved in our chests; our children will know them as well. may they be the death cry that comes out when we march to the fight, and ringing in the mouth of the strong they always make the tyrant tremble. if the foreign cannon intends to invade, daring, our people; let's draw our arms and know victory or death. with its blood the proud araucanian inherited its courage to us; and the sword doesn't tremble in the hand of that who defends the honor of chile. how pure, chile, is your blue sky and how pure the breezes that blow across you and your countryside embroidered with flowers is a wonderful copy of eden how majestic are the snow-covered mountains that were given to you by god as protection and the sea that tranquilly bathes your shores promises future splendor for you hat pride, oh, homeland!, those flowers growing on your fertile soil, may they never be stepped on by invaders; may your shadow cover them with peace. our chests will be your bastion in your name we will know how to win, or your noble, glorious emblem will see us fall in the fight.",0,Echoes of Sacred Freedom
